Storm in A;MagnHall in T;Photorelativ intens
0,05;-0,0023;349
0,1;-0,0039;349
0,15;-0,0057;349,1
0,2;-0,0075;349,1
0,25;-0,0096;348,9
0,3;-0,0113;349,2
0,35;-0,0133;349,2
0,4;-0,015;349,3
0,45;-0,017;349,3
0,5;-0,0189;349,3
0,55;-0,0206;349,2
0,6;-0,0225;349,2
0,65;-0,0243;349,1
0,7;-0,0263;349
0,75;-0,028;348,7
0,8;-0,0298;348,6
0,85;-0,0319;348,5
0,9;-0,0336;348,4
0,95;-0,0357;348,3
1;-0,0375;348,2
0;-0,0005;348,8
-0,05;0,0016;348,5
-0,1;0,0034;348,4
-0,15;0,0051;348,3
-0,2;0,0073;348,3
-0,25;0,0092;348,3
-0,3;0,0108;348,2
-0,35;0,013;348,2
-0,4;0,0148;348,2
-0,45;0,0168;348,2
-0,5;0,0187;349,3
-0,55;0,0207;350,3
-0,6;0,0225;350,9
-0,65;0,0243;351,1
-0,7;0,0265;351,1
-0,75;0,0284;351,2
-0,8;0,0303;351,2
-0,85;0,0321;351,2
-0,9;0,0341;351,1
-0,95;0,0361;351,1
-1;0,038;351
-0,95;;351
-0,9;;350,8
-0,85;;350,7
-0,8;;350,7
-0,75;;350,6
-0,7;;350,5
-0,65;;350,4
-0,6;;350,4
-0,55;;350,4
-0,5;;350,3
-0,45;;350,2
-0,4;;350,2
-0,35;;350,2
-0,3;;350,1
-0,25;;350,1
-0,2;;350
-0,15;;350
-0,1;;349,9
-0,05;;349,9
0;;349,8
0,05;;349,7
0,1;;349,7
0,15;;349,6
0,2;;349,5
0,25;;349,6
0,3;;349,5
0,35;;349,5
0,4;;349,5
0,45;;349,3
0,5;;348,4
0,55;;347,2
0,6;;346,6
0,65;;346,3
0,7;;346,2
0,75;;345,9
0,8;;345,9
0,85;;346
0,9;;346
0,95;;346
1;;345,8
