X	Y
0.000000	1.000000
0.003922	0.903900
0.007843	0.897965
0.011765	0.896468
0.015686	0.887186
0.019608	0.879117
0.023529	0.871965
0.027451	0.860350
0.031373	0.861660
0.035294	0.848313
0.039216	0.832420
0.043137	0.830950
0.047059	0.819746
0.050980	0.805690
0.054902	0.794266
0.058824	0.781685
0.062745	0.771806
0.066667	0.761894
0.070588	0.752273
0.074510	0.742405
0.078431	0.732929
0.082353	0.721812
0.086275	0.718012
0.090196	0.713799
0.094118	0.693083
0.098039	0.685491
0.101961	0.682492
0.105882	0.669786
0.109804	0.666408
0.113725	0.650911
0.117647	0.650083
0.121569	0.642525
0.125490	0.632524
0.129412	0.618565
0.133333	0.614209
0.137255	0.604145
0.141176	0.598428
0.145098	0.590320
0.149020	0.580033
0.152941	0.567788
0.156863	0.558921
0.160784	0.552078
0.164706	0.543047
0.168627	0.529713
0.172549	0.517907
0.176471	0.510853
0.180392	0.501385
0.184314	0.491414
0.188235	0.479257
0.192157	0.476501
0.196078	0.460423
0.200000	0.458942
0.203922	0.443968
0.207843	0.437297
0.211765	0.421342
0.215686	0.410188
0.219608	0.398827
0.223529	0.390498
0.227451	0.376648
0.231373	0.371886
0.235294	0.359907
0.239216	0.354479
0.243137	0.342441
0.247059	0.335561
0.250980	0.325275
0.254902	0.310811
0.258824	0.294708
0.262745	0.288198
0.266667	0.278426
0.270588	0.269690
0.274510	0.260979
0.278431	0.251619
0.282353	0.237800
0.286275	0.230976
0.290196	0.220570
0.294118	0.214886
0.298039	0.203678
0.301961	0.199893
0.305882	0.187258
0.309804	0.179093
0.313726	0.177704
0.317647	0.168117
0.321569	0.164702
0.325490	0.154116
0.329412	0.144783
0.333333	0.142746
0.337255	0.134449
0.341176	0.126849
0.345098	0.119372
0.349020	0.122164
0.352941	0.112856
0.356863	0.106937
0.360784	0.101276
0.364706	0.093870
0.368627	0.093068
0.372549	0.088739
0.376471	0.078132
0.380392	0.074055
0.384314	0.074866
0.388235	0.069947
0.392157	0.064949
0.396078	0.062110
0.400000	0.056689
0.403922	0.056448
0.407843	0.051315
0.411765	0.047739
0.415686	0.050053
0.419608	0.042045
0.423529	0.036682
0.427451	0.036098
0.431373	0.029259
0.435294	0.026800
0.439216	0.029445
0.443137	0.022837
0.447059	0.024339
0.450980	0.019679
0.454902	0.018384
0.458824	0.015533
0.462745	0.011056
0.466667	0.011329
0.470588	0.013320
0.474510	0.010251
0.478431	0.011770
0.482353	0.009661
0.486275	0.011408
0.490196	0.007853
0.494118	0.008914
0.498039	0.008431
0.501961	0.009138
0.505882	0.011921
0.509804	0.012964
0.513726	0.013017
0.517647	0.016515
0.521569	0.014704
0.525490	0.017141
0.529412	0.016250
0.533333	0.019084
0.537255	0.017077
0.541176	0.018700
0.545098	0.021463
0.549020	0.023516
0.552941	0.023565
0.556863	0.026073
0.560784	0.024726
0.564706	0.028545
0.568627	0.025658
0.572549	0.028115
0.576471	0.030691
0.580392	0.031054
0.584314	0.033097
0.588235	0.036582
0.592157	0.033877
0.596078	0.035739
0.600000	0.036631
0.603922	0.036332
0.607843	0.037791
0.611765	0.038584
0.615686	0.039362
0.619608	0.040748
0.623529	0.038888
0.627451	0.040405
0.631373	0.042703
0.635294	0.043442
0.639216	0.042222
0.643137	0.044095
0.647059	0.044397
0.650980	0.045328
0.654902	0.046465
0.658824	0.044632
0.662745	0.045289
0.666667	0.046436
0.670588	0.046943
0.674510	0.046207
0.678431	0.047073
0.682353	0.048226
0.686275	0.047345
0.690196	0.048004
0.694118	0.046545
0.698039	0.047326
0.701961	0.047698
0.705882	0.047289
0.709804	0.047323
0.713726	0.047043
0.717647	0.046847
0.721569	0.046583
0.725490	0.046745
0.729412	0.046831
0.733333	0.045820
0.737255	0.045607
0.741176	0.044966
0.745098	0.044250
0.749020	0.044176
0.752941	0.044418
0.756863	0.043327
0.760784	0.042444
0.764706	0.041601
0.768627	0.040719
0.772549	0.039864
0.776471	0.038900
0.780392	0.038174
0.784314	0.037280
0.788235	0.036478
0.792157	0.035785
0.796078	0.034870
0.800000	0.033956
0.803922	0.033156
0.807843	0.031834
0.811765	0.030961
0.815686	0.029813
0.819608	0.028897
0.823529	0.028093
0.827451	0.027194
0.831373	0.026301
0.835294	0.025420
0.839216	0.024791
0.843137	0.023768
0.847059	0.023220
0.850980	0.022227
0.854902	0.021721
0.858824	0.020831
0.862745	0.020404
0.866667	0.019482
0.870588	0.019102
0.874510	0.018298
0.878431	0.018034
0.882353	0.017355
0.886275	0.017042
0.890196	0.016501
0.894118	0.016428
0.898039	0.015878
0.901961	0.015827
0.905882	0.015273
0.909804	0.015347
0.913725	0.014973
0.917647	0.015036
0.921569	0.014671
0.925490	0.014757
0.929412	0.014470
0.933333	0.014601
0.937255	0.014326
0.941176	0.014480
0.945098	0.014237
0.949020	0.014418
0.952941	0.014171
0.956863	0.014367
0.960784	0.014131
0.964706	0.014326
0.968627	0.014111
0.972549	0.014310
0.976471	0.014097
0.980392	0.014304
0.984314	0.014092
0.988235	0.014300
0.992157	0.014090
0.996078	0.014299
1.000000	0.014090
